Addresses,Reprint Addresses
"[Deng, Hong] Univ Manchester, Manchester, Lancs, England; [Leung, Kwok] Chinese Univ Hong Kong, Hong Kong, Peoples R China; [Lam, Catherine K.] City Univ Hong Kong, Hong Kong, Peoples R China; [Huang, Xu] Hong Kong Baptist Univ, Hong Kong, Peoples R China","Deng, H (corresponding author), Univ Manchester, Alliance Manchester Business Sch, Booth St East, Manchester M13 9SS, Lancs, England."
"[Lin, Ya (Lisa)] Hong Kong Baptist Univ, Hong Kong, Peoples R China; [Shi, Weilei] CUNY, Baruch Coll, One Bernard Baruch Way, New York, NY 10010 USA; [Prescott, John E.] Univ Pittsburgh, Pittsburgh, PA 15260 USA; [Yang, Haibin] City Univ Hong Kong, Hong Kong, Peoples R China","Shi, WL (corresponding author), CUNY, Baruch Coll, One Bernard Baruch Way, New York, NY 10010 USA."
"[Zheng, Xingshan] Shanghai Jiao Tong Univ, Shanghai, Peoples R China; [Li, Ning] Univ Iowa, Iowa City, IA 52242 USA; [Harris, T. Brad] Texas Christian Univ, Ft Worth, TX 76129 USA; [Liao, Hui] Univ Maryland, College Pk, MD 20742 USA","Zheng, XS (corresponding author), Shanghai Jiao Tong Univ, Dept Management & Org, 1954 Huashan Rd, Shanghai 200030, Peoples R China."
"[Takeuchi, Riki] Univ Texas Dallas, Richardson, TX 75083 USA; [Takeuchi, Riki] Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China; [Li, Yixuan; Wang, Mo] Univ Florida, Gainesville, FL 32611 USA; [Li, Yixuan] Zhejiang Gongshang Univ, Hangzhou, Zhejiang, Peoples R China","Takeuchi, R (corresponding author), Univ Texas Dallas, Naveen Jindal Sch Management, 800 West Campbell Rd,SM 43, Richardson, TX 75080 USA."
"[Yiu, Daphne W.; Wan, William P.] Chinese Univ Hong Kong, Hong Kong, Peoples R China; [Xu, Yuehua] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China","Xu, YH (corresponding author), Sun Yat Sen Univ, Lingnan Univ Coll, Guangzhou 510275, Guangdong, Peoples R China."
"[Ma, Shenghui] Fudan Univ, Shanghai, Peoples R China; [Kor, Yasemin Y.] Univ Cambridge, Cambridge, England; [Seidl, David] Univ Zurich, Zurich, Switzerland","Ma, SH (corresponding author), Fudan Univ, Sch Management, 670 Guoshun Rd,305 Siyuan Bldg, Shanghai 200433, Peoples R China."
"[Gong, Yan; Zhang, Yu] China Europe Int Business Sch, 699 Hongfeng Rd, Shanghai 201206, Peoples R China; [Xia, Jun] Univ Texas Dallas, Dallas, TX USA","Gong, Y (corresponding author), China Europe Int Business Sch, 699 Hongfeng Rd, Shanghai 201206, Peoples R China."
"[Li, Rui] Soochow Univ, Suzhou, Peoples R China; [Chen, Zhijun] Shanghai Univ Finance & Econ, Shanghai, Peoples R China; [Zhang, Huihua] Shanghai Normal Univ, Shanghai, Peoples R China; [Luo, Jinlian] Tongji Univ, Shanghai, Peoples R China","Chen, ZJ (corresponding author), Shanghai Univ Finance & Econ, Coll Business, Dept Human Resource Management, 100 Wudong Rd, Shanghai 200433, Peoples R China."
"[Lin, Xiaowan; Loi, Raymond] Univ Macau, Taipa, Macao, Peoples R China","Lin, XW (corresponding author), Univ Macau, Fac Business Adm, Ave Univ, Taipa, Macao, Peoples R China."
"[Lin, Weipeng] Nankai Univ, Tianjin, Peoples R China; [Koopmann, Jaclyn] Auburn Univ, Auburn, AL 36849 USA; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA","Lin, WP (corresponding author), Nankai Univ, Sch Business, Room 808, Tianjin 300071, Peoples R China."
"[Li, Chenwei] San Francisco State Univ, San Francisco, CA 94132 USA; [Liang, Jian] Tongji Univ, Shanghai, Peoples R China; [Farh, Jiing-Lih] China Europe Int Business Sch, Shanghai, Peoples R China","Li, CW (corresponding author), San Francisco State Univ, Dept Management, 1600 Holloway Ave, San Francisco, CA 94132 USA.; Liang, J (corresponding author), Tongji Univ, Adv Inst Business, 1239 Siping Rd, Shanghai 200092, Peoples R China."
"[Zhao, Xiaoping; Wu, Chuang; Zhou, Zucheng] Shanghai Jiao Tong Univ, Shanghai, Peoples R China; [Chen, Chao C.] Rutgers State Univ, New Brunswick, NJ USA","Zhao, XP; Wu, C (corresponding author), Shanghai Jiao Tong Univ, Antai Coll Econ & Management, 1954 Huashan Rd, Shanghai 200030, Peoples R China."
"[Zhang, Yucheng] Hebei Univ Technol, Tianjin, Peoples R China; [Liu, Guangjian] Renmin Univ China, Beijing, Peoples R China; [Zhang, Long] Hunan Univ, Changsha, Peoples R China; [Xu, Shan] Southwestern Univ Finance & Econ, Chengdu, Peoples R China; [Cheung, Mike W-L] Natl Univ Singapore, Singapore, Singapore","Zhang, L (corresponding author), Hunan Univ Changsha, Business Sch, Changsha 410082, Hunan, Peoples R China."
"[Li, Jiangyan; Qin, Xin] Sun Yat Sen Univ, Guangzhou, Peoples R China; [Shi, Wei] Univ Miami, 5250 Univ Dr,Jenkins 414J, Coral Gables, FL 33146 USA; [Connelly, Brian] Auburn Univ, Auburn, AL 36849 USA; [Yi, Xiwei] Peking Univ, Beijing, Peoples R China","Shi, W (corresponding author), Univ Miami, 5250 Univ Dr,Jenkins 414J, Coral Gables, FL 33146 USA."
"[Lian, Huiwen] Univ Kentucky, Lexington, KY 40506 USA; [Huai, Mingyun] Tongji Univ, Shanghai, Peoples R China; [Farh, Jiing-Lih] China Europe Int Business Sch, Shanghai, Peoples R China; [Huang, Jia-Chi] Natl Chengchi Univ, Taipei 11623, Taiwan; [Lee, Cynthia] Northeastern Univ, Boston, MA 02115 USA; [Chao, Melody M.] Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China","Huai, MY (corresponding author), Tongji Univ, Adv Inst Business, Tongji Bldg A,Siping Rd 1500, Shanghai 200092, Peoples R China."
"[Ye, Yang] Southwestern Univ Finance & Econ, Chengdu, Peoples R China; [Yu, Wei] Natl Univ Singapore, Singapore, Singapore; [Nason, Robert] Concordia Univ, Montreal, PQ, Canada","Yu, W (corresponding author), Natl Univ Singapore, Sch Engn, Dept Ind Syst Engn & Management, 1 Engn Dr 2, Singapore, Singapore."
"[Xie, Xuanli] Peking Univ, Beijing, Peoples R China; [Shen, Wei] Arizona State Univ, Tempe, AZ 85287 USA; [Zajac, Edward J.] Northwestern Univ, Evanston, IL 60208 USA","Xie, XL (corresponding author), Peking Univ, Natl Sch Dev, 5 Yiheyuan Rd, Beijing 100871, Peoples R China."
"[Ng, Thomas W. H.; Hsu, Dennis Y.; Su, Chang] Univ Hong Kong, Hong Kong, Peoples R China; [Wang, Mo] Zhejiang Gongshang Univ, Hangzhou, Peoples R China; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA","Wang, M (corresponding author), Zhejiang Gongshang Univ, Sch Business Adm, 18 Xuezheng St, Hangzhou 310018, Zhejiang, Peoples R China.; Wang, M (corresponding author), Univ Florida, Warrington Coll Business, Dept Management, Gainesville, FL 32611 USA."
"[Ng, Thomas W. H.; Hsu, Dennis Y.] Univ Hong Kong, Hong Kong, Peoples R China; [Parker, Sharon K.] Curtin Univ, Perth, WA, Australia","Ng, TWH (corresponding author), Univ Hong Kong, Fac Business & Econ, Pok Fu Lam, KKL Bldg, Hong Kong, Peoples R China."
"[Chahine, Salim] Amer Univ Beirut, Beirut, Lebanon; [Filatotchev, Igor] Kings Coll London, London, England; [Filatotchev, Igor] Vienna Univ Econ & Business, Vienna, Austria; [Bruton, Garry D.] Texas Christian Univ, Ft Worth, TX 76129 USA; [Bruton, Garry D.] Jilin Univ, Changchun, Peoples R China; [Bruton, Garry D.] Sun Yat Sen Univ, Guangzhou, Peoples R China; [Wright, Mike] Imperial Coll Business Sch, London, England","Chahine, S (corresponding author), Amer Univ Beirut, Olayan Sch Business, Bliss St, Beirut 110236, Lebanon."
